number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
54226,2000JA10,4.31,6.11652,2.4348,0.096,False,2.423554471930714
54256,2000JC30,3.76,7.4983,2.7833,0.0481,False,2.7800784001830787
54271,2000JD39,3.65,15.3897,2.2849,0.0971,False,2.27410300309525
54298,2000JE62,3.21,58.539,2.3181,0.188,False,2.276766024323132
54315,2000JU75,2.62,4.80283,2.2612,0.1459,False,2.2370036743227657
54318,2000JF76,6.49,180.3,2.6758,0.1915,False,2.6262779347193077
54330,2000KH7,6.0,7.0493,3.0382,0.0985,False,3.023425387931495
54355,2000KJ33,4.5,2.30616,2.2759,0.1606,False,2.246357849090164
54360,2000KK36,4.39,5.67596,2.5942,0.2479,False,2.5132236721150085
54382,2000KM62,6.83,8.5444,3.051,0.1381,False,3.0217662040737685
54390,2000KZ66,3.16,6.33155,2.2906,0.2487,False,2.218630641129855
54391,Adammckay,16.84,8.22491,2.7197,0.1226,False,2.699183032708888
54403,2000LD2,6.17,10.3117,2.6373,0.1925,False,2.5879745079424445
54414,2000LA13,6.46,3.69115,2.9786,0.0754,False,2.9701210229497597
54419,2000LA20,5.51,5.39866,2.4019,0.2234,False,2.3411964307350437
54432,2000LG31,6.65,7.0947,2.5991,0.1617,False,2.564895744443859
54443,2000MT5,3.73,2.79937,2.3377,0.2199,False,2.280478758930314
